"Day","Shift","Run","MSAPlate","AssayStrip","AssayCol","AssayRow","MfgPlate","Pool","MfgStrip","MfgCol","MfgRow","A450","A650"
1,"Day",15,1,1,1,1,38,"A",3,5,1,0.464,0.039
1,"Day",15,1,1,1,2,38,"A",3,5,2,0.494,0.038
1,"Day",15,1,1,1,3,38,"A",3,5,3,0.527,0.039
1,"Day",15,1,1,1,4,38,"A",3,5,4,0.52,0.038
1,"Day",15,1,1,1,5,38,"A",3,5,5,0.536,0.039
1,"Day",15,1,1,1,6,38,"A",3,5,6,0.515,0.036
1,"Day",15,1,1,1,7,38,"A",3,5,7,0.468,0.036
1,"Day",15,1,1,1,8,38,"A",3,5,8,0.539,0.038
1,"Day",15,1,1,2,1,38,"A",3,6,1,0.45,0.038
1,"Day",15,1,1,2,2,38,"A",3,6,2,0.36,0.034
1,"Day",15,1,1,2,3,38,"A",3,6,3,0.514,0.039
1,"Day",15,1,1,2,4,38,"A",3,6,4,0.471,0.039
1,"Day",15,1,1,2,5,38,"A",3,6,5,0.515,0.04
1,"Day",15,1,1,2,6,38,"A",3,6,6,0.438,0.036
1,"Day",15,1,1,2,7,38,"A",3,6,7,0.532,0.037
1,"Day",15,1,1,2,8,38,"A",3,6,8,0.521,0.038
1,"Day",15,1,2,3,1,293,"B",2,3,1,0.441,0.036
1,"Day",15,1,2,3,2,293,"B",2,3,2,0.492,0.035
1,"Day",15,1,2,3,3,293,"B",2,3,3,0.44,0.037
1,"Day",15,1,2,3,4,293,"B",2,3,4,0.415,0.036
1,"Day",15,1,2,3,5,293,"B",2,3,5,0.411,0.037
1,"Day",15,1,2,3,6,293,"B",2,3,6,0.473,0.037
1,"Day",15,1,2,3,7,293,"B",2,3,7,0.425,0.034
1,"Day",15,1,2,3,8,293,"B",2,3,8,0.514,0.037
1,"Day",15,1,2,4,1,293,"B",2,4,1,0.48,0.038
1,"Day",15,1,2,4,2,293,"B",2,4,2,0.435,0.036
1,"Day",15,1,2,4,3,293,"B",2,4,3,0.533,0.038
1,"Day",15,1,2,4,4,293,"B",2,4,4,0.493,0.038
1,"Day",15,1,2,4,5,293,"B",2,4,5,0.436,0.038
1,"Day",15,1,2,4,6,293,"B",2,4,6,0.477,0.036
1,"Day",15,1,2,4,7,293,"B",2,4,7,0.431,0.036
1,"Day",15,1,2,4,8,293,"B",2,4,8,0.47,0.037
1,"Day",15,1,3,5,1,283,"B",5,9,1,0.559,0.038
1,"Day",15,1,3,5,2,283,"B",5,9,2,0.495,0.036
1,"Day",15,1,3,5,3,283,"B",5,9,3,0.518,0.038
1,"Day",15,1,3,5,4,283,"B",5,9,4,0.445,0.037
1,"Day",15,1,3,5,5,283,"B",5,9,5,0.504,0.038
1,"Day",15,1,3,5,6,283,"B",5,9,6,0.481,0.036
1,"Day",15,1,3,5,7,283,"B",5,9,7,0.461,0.035
1,"Day",15,1,3,5,8,283,"B",5,9,8,0.471,0.034
1,"Day",15,1,3,6,1,283,"B",5,10,1,0.507,0.038
1,"Day",15,1,3,6,2,283,"B",5,10,2,0.561,0.037
1,"Day",15,1,3,6,3,283,"B",5,10,3,0.497,0.038
1,"Day",15,1,3,6,4,283,"B",5,10,4,0.548,0.039
1,"Day",15,1,3,6,5,283,"B",5,10,5,0.471,0.037
1,"Day",15,1,3,6,6,283,"B",5,10,6,0.522,0.038
1,"Day",15,1,3,6,7,283,"B",5,10,7,0.441,0.036
1,"Day",15,1,3,6,8,283,"B",5,10,8,0.485,0.038
1,"Day",15,1,4,7,1,76,"A",4,7,1,0.5,0.038
1,"Day",15,1,4,7,2,76,"A",4,7,2,0.548,0.037
1,"Day",15,1,4,7,3,76,"A",4,7,3,0.513,0.039
1,"Day",15,1,4,7,4,76,"A",4,7,4,0.484,0.036
1,"Day",15,1,4,7,5,76,"A",4,7,5,0.499,0.04
1,"Day",15,1,4,7,6,76,"A",4,7,6,0.489,0.043
