"Day","Shift","Run","AssayRow","AssayCol","A450","A650"
1,"Day",1,"1","1",0.572,0.039
1,"Day",1,"2","1",0.532,0.037
1,"Day",1,"3","1",0.53,0.037
1,"Day",1,"4","1",0.492,0.038
1,"Day",1,"5","1",0.522,0.038
1,"Day",1,"6","1",0.609,0.037
1,"Day",1,"7","1",0.737,0.039
1,"Day",1,"8","1",0.658,0.039
1,"Day",1,"1","2",0.52,0.038
1,"Day",1,"2","2",0.538,0.037
1,"Day",1,"3","2",0.564,0.039
1,"Day",1,"4","2",0.582,0.041
1,"Day",1,"5","2",0.588,0.04
1,"Day",1,"6","2",0.556,0.036
1,"Day",1,"7","2",0.562,0.037
1,"Day",1,"8","2",0.593,0.037
1,"Day",1,"1","3",0.524,0.039
1,"Day",1,"2","3",0.515,0.037
1,"Day",1,"3","3",0.513,0.037
1,"Day",1,"4","3",0.504,0.038
1,"Day",1,"5","3",0.607,0.04
1,"Day",1,"6","3",0.605,0.038
1,"Day",1,"7","3",0.608,0.037
1,"Day",1,"8","3",0.639,0.039
1,"Day",1,"1","4",0.625,0.04
1,"Day",1,"2","4",0.537,0.037
1,"Day",1,"3","4",0.592,0.039
1,"Day",1,"4","4",0.648,0.04
1,"Day",1,"5","4",0.589,0.04
1,"Day",1,"6","4",0.585,0.038
1,"Day",1,"7","4",0.562,0.038
1,"Day",1,"8","4",0.65,0.039
1,"Day",1,"1","5",0.647,0.04
1,"Day",1,"2","5",0.624,0.038
1,"Day",1,"3","5",0.593,0.039
1,"Day",1,"4","5",0.565,0.039
1,"Day",1,"5","5",0.61,0.039
1,"Day",1,"6","5",0.616,0.036
1,"Day",1,"7","5",0.59,0.036
1,"Day",1,"8","5",0.666,0.039
1,"Day",1,"1","6",0.613,0.04
1,"Day",1,"2","6",0.638,0.039
1,"Day",1,"3","6",0.636,0.04
1,"Day",1,"4","6",0.643,0.042
1,"Day",1,"5","6",0.651,0.04
1,"Day",1,"6","6",0.65,0.039
1,"Day",1,"7","6",0.635,0.039
1,"Day",1,"8","6",0.723,0.041
1,"Day",1,"1","7",0.682,0.042
1,"Day",1,"2","7",0.683,0.039
1,"Day",1,"3","7",0.67,0.042
1,"Day",1,"4","7",0.621,0.04
1,"Day",1,"5","7",0.652,0.041
1,"Day",1,"6","7",0.675,0.039
1,"Day",1,"7","7",0.634,0.036
1,"Day",1,"8","7",0.687,0.041
1,"Day",1,"1","8",0.693,0.042
1,"Day",1,"2","8",0.644,0.038
1,"Day",1,"3","8",0.657,0.041
1,"Day",1,"4","8",0.66,0.041
1,"Day",1,"5","8",0.643,0.042
1,"Day",1,"6","8",0.652,0.039
1,"Day",1,"7","8",0.616,0.038
1,"Day",1,"8","8",0.718,0.042
1,"Day",1,"1","9",0.673,0.045
1,"Day",1,"2","9",0.689,0.042
1,"Day",1,"3","9",0.681,0.043
1,"Day",1,"4","9",0.668,0.041
1,"Day",1,"5","9",0.64,0.043
1,"Day",1,"6","9",0.638,0.041
1,"Day",1,"7","9",0.611,0.038
1,"Day",1,"8","9",0.651,0.042
1,"Day",1,"1","10",0.708,0.043
1,"Day",1,"2","10",0.629,0.04
1,"Day",1,"3","10",0.618,0.043
1,"Day",1,"4","10",0.606,0.041
1,"Day",1,"5","10",0.654,0.049
1,"Day",1,"6","10",0.592,0.038
1,"Day",1,"7","10",0.582,0.038
1,"Day",1,"8","10",0.729,0.044
1,"Day",1,"1","11",0.617,0.042
1,"Day",1,"2","11",0.627,0.039
1,"Day",1,"3","11",0.648,0.042
1,"Day",1,"4","11",0.569,0.04
1,"Day",1,"5","11",0.618,0.043
1,"Day",1,"6","11",0.693,0.04
1,"Day",1,"7","11",0.615,0.037
1,"Day",1,"8","11",0.695,0.041
1,"Day",1,"1","12",0.559,0.041
1,"Day",1,"2","12",0.625,0.04
1,"Day",1,"3","12",0.611,0.044
1,"Day",1,"4","12",0.905,0.046
1,"Day",1,"5","12",0.677,0.041
1,"Day",1,"6","12",0.642,0.039
1,"Day",1,"7","12",0.624,0.037
1,"Day",1,"8","12",0.61,0.04
1,"Day",2,"1","1",0.561,0.04
1,"Day",2,"2","1",0.496,0.036
1,"Day",2,"3","1",0.567,0.039
1,"Day",2,"4","1",0.564,0.039
1,"Day",2,"5","1",0.579,0.039
1,"Day",2,"6","1",0.595,0.037
1,"Day",2,"7","1",0.69,0.04
1,"Day",2,"8","1",0.643,0.039
1,"Day",2,"1","2",0.44,0.038
1,"Day",2,"2","2",0.541,0.037
1,"Day",2,"3","2",0.625,0.04
1,"Day",2,"4","2",0.528,0.04
1,"Day",2,"5","2",0.494,0.038
1,"Day",2,"6","2",0.533,0.035
1,"Day",2,"7","2",0.587,0.037
1,"Day",2,"8","2",0.627,0.037
1,"Day",2,"1","3",0.53,0.038
1,"Day",2,"2","3",0.479,0.036
1,"Day",2,"3","3",0.54,0.038
1,"Day",2,"4","3",0.49,0.038
1,"Day",2,"5","3",0.538,0.039
1,"Day",2,"6","3",0.517,0.036
1,"Day",2,"7","3",0.592,0.038
1,"Day",2,"8","3",0.603,0.038
1,"Day",2,"1","4",0.526,0.039
1,"Day",2,"2","4",0.461,0.036
1,"Day",2,"3","4",0.613,0.039
1,"Day",2,"4","4",0.479,0.039
1,"Day",2,"5","4",0.531,0.039
1,"Day",2,"6","4",0.451,0.035
1,"Day",2,"7","4",0.577,0.038
1,"Day",2,"8","4",0.583,0.038
1,"Day",2,"1","5",0.56,0.039
1,"Day",2,"2","5",0.521,0.038
1,"Day",2,"3","5",0.553,0.039
1,"Day",2,"4","5",0.468,0.038
1,"Day",2,"5","5",0.499,0.038
