"WellID","MfgPlate","Well","AssayRow","AssayCol","WellOrder","Day","Shift","Run","RunOrder","A450","A650"
1,2,"A1",1,1,1,7,"Day",7,12,0.79,0.041
2,2,"A2",1,2,2,7,"Day",7,12,0.749,0.047
3,2,"A3",1,3,3,7,"Day",7,12,0.725,0.04
4,2,"A4",1,4,4,7,"Day",7,12,0.797,0.043
5,2,"A5",1,5,5,7,"Day",7,12,0.808,0.043
6,2,"A6",1,6,6,7,"Day",7,12,0.842,0.044
7,2,"A7",1,7,7,7,"Day",7,12,0.861,0.045
8,2,"A8",1,8,8,7,"Day",7,12,0.837,0.043
9,2,"A9",1,9,9,7,"Day",7,12,0.77,0.043
10,2,"A10",1,10,10,7,"Day",7,12,0.827,0.043
11,2,"A11",1,11,11,7,"Day",7,12,0.826,0.05
12,2,"A12",1,12,12,7,"Day",7,12,0.819,0.044
13,2,"B1",2,1,13,7,"Day",7,12,0.767,0.041
14,2,"B2",2,2,14,7,"Day",7,12,0.838,0.042
15,2,"B3",2,3,15,7,"Day",7,12,0.819,0.041
16,2,"B4",2,4,16,7,"Day",7,12,0.862,0.042
17,2,"B5",2,5,17,7,"Day",7,12,0.862,0.043
18,2,"B6",2,6,18,7,"Day",7,12,0.873,0.044
19,2,"B7",2,7,19,7,"Day",7,12,0.861,0.046
20,2,"B8",2,8,20,7,"Day",7,12,0.877,0.046
21,2,"B9",2,9,21,7,"Day",7,12,0.849,0.048
22,2,"B10",2,10,22,7,"Day",7,12,0.847,0.045
23,2,"B11",2,11,23,7,"Day",7,12,0.859,0.046
24,2,"B12",2,12,24,7,"Day",7,12,0.953,0.043
25,2,"C1",3,1,25,7,"Day",7,12,0.758,0.041
26,2,"C2",3,2,26,7,"Day",7,12,0.969,0.043
27,2,"C3",3,3,27,7,"Day",7,12,0.841,0.042
28,2,"C4",3,4,28,7,"Day",7,12,0.877,0.046
29,2,"C5",3,5,29,7,"Day",7,12,0.87,0.058
30,2,"C6",3,6,30,7,"Day",7,12,0.86,0.05
31,2,"C7",3,7,31,7,"Day",7,12,0.871,0.048
32,2,"C8",3,8,32,7,"Day",7,12,0.86,0.048
33,2,"C9",3,9,33,7,"Day",7,12,0.827,0.046
34,2,"C10",3,10,34,7,"Day",7,12,0.855,0.047
35,2,"C11",3,11,35,7,"Day",7,12,0.824,0.05
36,2,"C12",3,12,36,7,"Day",7,12,0.858,0.042
37,2,"D1",4,1,37,7,"Day",7,12,0.787,0.043
38,2,"D2",4,2,38,7,"Day",7,12,0.815,0.043
39,2,"D3",4,3,39,7,"Day",7,12,0.772,0.041
40,2,"D4",4,4,40,7,"Day",7,12,0.811,0.04
41,2,"D5",4,5,41,7,"Day",7,12,0.859,0.049
42,2,"D6",4,6,42,7,"Day",7,12,0.808,0.048
43,2,"D7",4,7,43,7,"Day",7,12,0.874,0.048
44,2,"D8",4,8,44,7,"Day",7,12,0.866,0.046
45,2,"D9",4,9,45,7,"Day",7,12,0.88,0.059
46,2,"D10",4,10,46,7,"Day",7,12,0.833,0.056
47,2,"D11",4,11,47,7,"Day",7,12,0.839,0.061
48,2,"D12",4,12,48,7,"Day",7,12,0.849,0.047
49,2,"E1",5,1,49,7,"Day",7,12,0.795,0.042
50,2,"E2",5,2,50,7,"Day",7,12,0.801,0.042
51,2,"E3",5,3,51,7,"Day",7,12,0.809,0.042
52,2,"E4",5,4,52,7,"Day",7,12,0.792,0.044
53,2,"E5",5,5,53,7,"Day",7,12,0.815,0.044
54,2,"E6",5,6,54,7,"Day",7,12,0.871,0.043
55,2,"E7",5,7,55,7,"Day",7,12,0.877,0.063
56,2,"E8",5,8,56,7,"Day",7,12,0.817,0.049
57,2,"E9",5,9,57,7,"Day",7,12,0.846,0.046
58,2,"E10",5,10,58,7,"Day",7,12,0.84,0.045
59,2,"E11",5,11,59,7,"Day",7,12,0.817,0.046
60,2,"E12",5,12,60,7,"Day",7,12,0.841,0.045
61,2,"F1",6,1,61,7,"Day",7,12,0.831,0.041
62,2,"F2",6,2,62,7,"Day",7,12,0.771,0.039
63,2,"F3",6,3,63,7,"Day",7,12,0.815,0.04
64,2,"F4",6,4,64,7,"Day",7,12,0.841,0.04
65,2,"F5",6,5,65,7,"Day",7,12,0.884,0.042
66,2,"F6",6,6,66,7,"Day",7,12,0.942,0.044
67,2,"F7",6,7,67,7,"Day",7,12,0.871,0.041
68,2,"F8",6,8,68,7,"Day",7,12,0.867,0.042
69,2,"F9",6,9,69,7,"Day",7,12,0.872,0.042
70,2,"F10",6,10,70,7,"Day",7,12,0.867,0.044
71,2,"F11",6,11,71,7,"Day",7,12,0.856,0.043
72,2,"F12",6,12,72,7,"Day",7,12,0.824,0.042
73,2,"G1",7,1,73,7,"Day",7,12,0.792,0.04
74,2,"G2",7,2,74,7,"Day",7,12,0.757,0.039
75,2,"G3",7,3,75,7,"Day",7,12,0.776,0.039
76,2,"G4",7,4,76,7,"Day",7,12,0.767,0.039
77,2,"G5",7,5,77,7,"Day",7,12,0.798,0.041
78,2,"G6",7,6,78,7,"Day",7,12,0.795,0.041
79,2,"G7",7,7,79,7,"Day",7,12,0.827,0.041
80,2,"G8",7,8,80,7,"Day",7,12,0.812,0.04
81,2,"G9",7,9,81,7,"Day",7,12,0.677,0.039
82,2,"G10",7,10,82,7,"Day",7,12,0.804,0.041
83,2,"G11",7,11,83,7,"Day",7,12,0.843,0.041
84,2,"G12",7,12,84,7,"Day",7,12,0.832,0.04
85,2,"H1",8,1,85,7,"Day",7,12,0.616,0.04
86,2,"H2",8,2,86,7,"Day",7,12,0.62,0.039
87,2,"H3",8,3,87,7,"Day",7,12,0.555,0.039
88,2,"H4",8,4,88,7,"Day",7,12,0.536,0.038
89,2,"H5",8,5,89,7,"Day",7,12,0.565,0.038
90,2,"H6",8,6,90,7,"Day",7,12,0.748,0.041
91,2,"H7",8,7,91,7,"Day",7,12,0.648,0.041
92,2,"H8",8,8,92,7,"Day",7,12,0.737,0.041
93,2,"H9",8,9,93,7,"Day",7,12,0.658,0.039
