PoolPlateID,PoolPlateStrip,MSAPlate,AssayStrip
1,2,17,3
1,3,47,5
1,4,9,1
1,5,17,6
2,2,27,5
2,3,30,5
2,4,1,4
2,5,14,3
3,2,1,6
3,3,45,1
3,4,24,1
3,5,35,6
4,2,29,6
4,3,34,2
4,4,26,3
4,5,25,5
5,2,2,1
5,3,22,2
5,4,38,3
5,5,32,4
6,2,21,4
6,3,12,3
6,4,25,3
6,5,13,5
7,2,40,1
7,3,31,6
7,4,26,5
7,5,15,2
8,2,16,6
8,3,3,2
8,4,33,4
8,5,36,4
9,2,4,3
9,3,25,2
9,4,18,4
9,5,15,1
10,2,45,2
10,3,47,1
10,4,15,5
10,5,24,5
11,2,15,3
11,3,50,5
11,4,10,5
11,5,11,1
12,2,48,6
12,3,30,6
12,4,28,6
12,5,43,4
13,2,4,1
13,3,36,1
13,4,22,1
13,5,13,1
14,2,50,6
14,3,5,4
14,4,18,1
14,5,21,1
15,2,29,5
15,3,42,2
15,4,3,3
15,5,26,1
16,2,16,4
16,3,46,2
16,4,16,1
16,5,19,1
17,2,45,6
17,3,12,2
17,4,49,3
17,5,7,2
18,2,20,2
18,3,27,1
18,4,28,2
18,5,21,5
19,2,5,6
19,3,11,4
19,4,43,2
19,5,48,5
20,2,38,6
20,3,8,1
20,4,6,2
20,5,17,1
21,2,35,5
21,3,41,5
21,4,10,2
21,5,33,2
22,2,33,3
22,3,8,6
22,4,19,2
22,5,35,3
23,2,12,4
23,3,29,3
23,4,39,6
23,5,10,1
24,2,38,2
24,3,34,6
24,4,6,6
24,5,43,3
25,2,2,5
25,3,37,6
25,4,40,2
25,5,30,1
26,2,42,6
26,3,47,6
26,4,23,4
26,5,31,2
27,2,46,3
27,3,21,6
27,4,27,6
27,5,41,2
28,2,4,5
28,3,32,2
28,4,41,6
28,5,37,3
29,2,8,4
29,3,44,3
29,4,11,3
29,5,19,4
30,2,23,5
30,3,23,3
30,4,37,2
30,5,39,4
31,2,20,5
31,3,28,5
31,4,6,3
31,5,9,5
32,2,42,1
32,3,46,6
32,4,40,6
32,5,7,1
33,2,31,1
33,3,32,5
33,4,49,2
33,5,44,1
34,2,48,4
34,3,13,3
34,4,20,6
34,5,14,2
35,2,49,5
35,3,36,3
35,4,34,3
35,5,18,3
36,2,14,5
36,3,5,1
36,4,24,4
36,5,9,6
37,2,3,6
37,3,22,6
37,4,39,2
37,5,50,1
38,2,7,5
38,3,1,1
38,4,44,6
38,5,2,6
39,1,30,3
39,2,14,1
39,3,12,5
39,4,50,3
39,5,19,5
40,1,12,6
40,2,10,3
40,3,32,6
40,4,23,1
40,5,13,4
41,1,40,4
41,2,35,1
41,4,43,6
41,5,1,3
42,1,47,4
42,2,1,5
42,3,23,2
42,4,38,4
42,5,35,2
43,1,49,4
43,2,49,6
43,3,31,4
43,4,49,1
43,5,44,4
44,1,7,4
44,2,14,4
44,3,37,1
44,4,16,3
44,5,25,1
45,1,27,4
45,2,32,3
45,3,26,6
45,4,39,1
45,5,46,4
46,1,34,1
46,2,31,3
46,3,9,2
46,4,10,4
46,5,45,5
47,1,18,5
47,2,4,4
47,3,17,2
47,4,34,5
47,5,43,5
48,1,50,2
48,2,23,6
48,3,38,1
48,4,19,6
48,5,46,1
49,1,37,5
49,2,1,2
49,3,13,6
49,4,5,2
49,5,30,4
50,2,20,1
50,3,22,5
50,4,9,4
50,5,28,3
51,1,31,5
51,2,3,5
51,3,5,3
51,4,42,5
51,5,21,2
52,1,38,5
52,2,16,5
52,3,50,4
52,4,45,4
52,5,39,5
53,1,24,2
53,2,7,6
53,3,8,3
53,4,9,3
53,5,26,2
54,1,33,5
54,2,17,4
54,3,18,6
54,4,16,2
54,5,42,4
55,1,11,2
55,2,26,4
55,3,47,2
55,4,8,2
55,5,30,2
56,1,41,3
56,2,40,3
56,3,20,3
56,4,36,2
56,5,20,4
57,1,28,4
57,2,15,4
57,3,43,1
57,4,13,2
57,5,2,3
58,1,37,4
58,2,21,3
58,3,15,6
58,4,12,1
58,5,36,6
59,1,29,1
59,2,5,5
59,3,4,6
59,4,40,5
59,5,22,4
60,1,28,1
60,2,6,1
60,3,47,3
60,4,48,1
60,5,19,3
61,1,32,1
61,2,42,3
61,3,46,5
61,4,7,3
61,5,25,4
62,1,10,6
62,2,39,3
62,3,14,6
62,4,41,1
62,5,17,5
63,1,29,4
63,2,34,4
63,3,24,3
63,4,18,2
63,5,11,6
64,1,33,6
64,2,45,3
64,3,24,6
64,4,11,5
64,5,41,4
65,1,44,5
65,2,35,4
65,3,44,2
65,4,6,4
65,5,36,5
66,1,6,5
66,2,29,2
66,3,25,6
66,4,8,5
66,5,48,2
67,1,48,3
67,2,2,4
67,3,27,3
67,4,4,2
67,5,33,1
68,1,3,4
68,2,27,2
68,3,3,1
68,4,2,2
68,5,22,3
