"MSAPlate","AssayStrip","AssayCol","AssayRow","MfgPlate","Pool","MfgStrip","MfgCol","MfgRow"
1,1,1,1,38,"A",3,5,1
1,1,1,2,38,"A",3,5,2
1,1,1,3,38,"A",3,5,3
1,1,1,4,38,"A",3,5,4
1,1,1,5,38,"A",3,5,5
1,1,1,6,38,"A",3,5,6
1,1,1,7,38,"A",3,5,7
1,1,1,8,38,"A",3,5,8
1,1,2,1,38,"A",3,6,1
1,1,2,2,38,"A",3,6,2
1,1,2,3,38,"A",3,6,3
1,1,2,4,38,"A",3,6,4
1,1,2,5,38,"A",3,6,5
1,1,2,6,38,"A",3,6,6
1,1,2,7,38,"A",3,6,7
1,1,2,8,38,"A",3,6,8
1,2,3,1,293,"B",2,3,1
1,2,3,2,293,"B",2,3,2
1,2,3,3,293,"B",2,3,3
1,2,3,4,293,"B",2,3,4
1,2,3,5,293,"B",2,3,5
1,2,3,6,293,"B",2,3,6
1,2,3,7,293,"B",2,3,7
1,2,3,8,293,"B",2,3,8
1,2,4,1,293,"B",2,4,1
1,2,4,2,293,"B",2,4,2
1,2,4,3,293,"B",2,4,3
1,2,4,4,293,"B",2,4,4
1,2,4,5,293,"B",2,4,5
1,2,4,6,293,"B",2,4,6
1,2,4,7,293,"B",2,4,7
1,2,4,8,293,"B",2,4,8
1,3,5,1,283,"B",5,9,1
1,3,5,2,283,"B",5,9,2
1,3,5,3,283,"B",5,9,3
1,3,5,4,283,"B",5,9,4
1,3,5,5,283,"B",5,9,5
1,3,5,6,283,"B",5,9,6
1,3,5,7,283,"B",5,9,7
1,3,5,8,283,"B",5,9,8
1,3,6,1,283,"B",5,10,1
1,3,6,2,283,"B",5,10,2
1,3,6,3,283,"B",5,10,3
1,3,6,4,283,"B",5,10,4
1,3,6,5,283,"B",5,10,5
1,3,6,6,283,"B",5,10,6
1,3,6,7,283,"B",5,10,7
1,3,6,8,283,"B",5,10,8
1,4,7,1,76,"A",4,7,1
1,4,7,2,76,"A",4,7,2
1,4,7,3,76,"A",4,7,3
1,4,7,4,76,"A",4,7,4
1,4,7,5,76,"A",4,7,5
1,4,7,6,76,"A",4,7,6
1,4,7,7,76,"A",4,7,7
1,4,7,8,76,"A",4,7,8
1,4,8,1,76,"A",4,8,1
1,4,8,2,76,"A",4,8,2
1,4,8,3,76,"A",4,8,3
1,4,8,4,76,"A",4,8,4
1,4,8,5,76,"A",4,8,5
1,4,8,6,76,"A",4,8,6
1,4,8,7,76,"A",4,8,7
1,4,8,8,76,"A",4,8,8
1,5,9,1,284,"B",2,3,1
1,5,9,2,284,"B",2,3,2
1,5,9,3,284,"B",2,3,3
1,5,9,4,284,"B",2,3,4
1,5,9,5,284,"B",2,3,5
1,5,9,6,284,"B",2,3,6
1,5,9,7,284,"B",2,3,7
1,5,9,8,284,"B",2,3,8
1,5,10,1,284,"B",2,4,1
1,5,10,2,284,"B",2,4,2
1,5,10,3,284,"B",2,4,3
1,5,10,4,284,"B",2,4,4
1,5,10,5,284,"B",2,4,5
1,5,10,6,284,"B",2,4,6
1,5,10,7,284,"B",2,4,7
1,5,10,8,284,"B",2,4,8
1,6,11,1,80,"A",2,3,1
1,6,11,2,80,"A",2,3,2
1,6,11,3,80,"A",2,3,3
1,6,11,4,80,"A",2,3,4
1,6,11,5,80,"A",2,3,5
1,6,11,6,80,"A",2,3,6
1,6,11,7,80,"A",2,3,7
1,6,11,8,80,"A",2,3,8
1,6,12,1,80,"A",2,4,1
1,6,12,2,80,"A",2,4,2
1,6,12,3,80,"A",2,4,3
1,6,12,4,80,"A",2,4,4
1,6,12,5,80,"A",2,4,5
1,6,12,6,80,"A",2,4,6
1,6,12,7,80,"A",2,4,7
1,6,12,8,80,"A",2,4,8
2,1,1,1,66,"A",2,3,1
2,1,1,2,66,"A",2,3,2
2,1,1,3,66,"A",2,3,3
2,1,1,4,66,"A",2,3,4
2,1,1,5,66,"A",2,3,5
2,1,1,6,66,"A",2,3,6
2,1,1,7,66,"A",2,3,7
2,1,1,8,66,"A",2,3,8
2,1,2,1,66,"A",2,4,1
2,1,2,2,66,"A",2,4,2
2,1,2,3,66,"A",2,4,3
2,1,2,4,66,"A",2,4,4
2,1,2,5,66,"A",2,4,5
2,1,2,6,66,"A",2,4,6
2,1,2,7,66,"A",2,4,7
2,1,2,8,66,"A",2,4,8
2,2,3,1,139,"B",4,7,1
2,2,3,2,139,"B",4,7,2
2,2,3,3,139,"B",4,7,3
2,2,3,4,139,"B",4,7,4
2,2,3,5,139,"B",4,7,5
2,2,3,6,139,"B",4,7,6
2,2,3,7,139,"B",4,7,7
2,2,3,8,139,"B",4,7,8
2,2,4,1,139,"B",4,8,1
2,2,4,2,139,"B",4,8,2
2,2,4,3,139,"B",4,8,3
2,2,4,4,139,"B",4,8,4
2,2,4,5,139,"B",4,8,5
2,2,4,6,139,"B",4,8,6
2,2,4,7,139,"B",4,8,7
2,2,4,8,139,"B",4,8,8
2,3,5,1,301,"B",5,9,1
2,3,5,2,301,"B",5,9,2
2,3,5,3,301,"B",5,9,3
2,3,5,4,301,"B",5,9,4
2,3,5,5,301,"B",5,9,5
2,3,5,6,301,"B",5,9,6
2,3,5,7,301,"B",5,9,7
2,3,5,8,301,"B",5,9,8
2,3,6,1,301,"B",5,10,1
2,3,6,2,301,"B",5,10,2
2,3,6,3,301,"B",5,10,3
2,3,6,4,301,"B",5,10,4
2,3,6,5,301,"B",5,10,5
2,3,6,6,301,"B",5,10,6
2,3,6,7,301,"B",5,10,7
2,3,6,8,301,"B",5,10,8
2,4,7,1,140,"B",2,3,1
2,4,7,2,140,"B",2,3,2
2,4,7,3,140,"B",2,3,3
2,4,7,4,140,"B",2,3,4
2,4,7,5,140,"B",2,3,5
2,4,7,6,140,"B",2,3,6
2,4,7,7,140,"B",2,3,7
2,4,7,8,140,"B",2,3,8
2,4,8,1,140,"B",2,4,1
2,4,8,2,140,"B",2,4,2
2,4,8,3,140,"B",2,4,3
2,4,8,4,140,"B",2,4,4
2,4,8,5,140,"B",2,4,5
2,4,8,6,140,"B",2,4,6
2,4,8,7,140,"B",2,4,7
2,4,8,8,140,"B",2,4,8
2,5,9,1,99,"A",2,3,1
2,5,9,2,99,"A",2,3,2
2,5,9,3,99,"A",2,3,3
2,5,9,4,99,"A",2,3,4
2,5,9,5,99,"A",2,3,5
2,5,9,6,99,"A",2,3,6
2,5,9,7,99,"A",2,3,7
2,5,9,8,99,"A",2,3,8
2,5,10,1,99,"A",2,4,1
2,5,10,2,99,"A",2,4,2
2,5,10,3,99,"A",2,4,3
2,5,10,4,99,"A",2,4,4
2,5,10,5,99,"A",2,4,5
2,5,10,6,99,"A",2,4,6
2,5,10,7,99,"A",2,4,7
2,5,10,8,99,"A",2,4,8
2,6,11,1,38,"A",5,9,1
2,6,11,2,38,"A",5,9,2
2,6,11,3,38,"A",5,9,3
2,6,11,4,38,"A",5,9,4
2,6,11,5,38,"A",5,9,5
