"Day","Shift","Run","MfgPlate","Mean450","SD450","CV450","Median450","Range450","RelRange450","Mean650","SD650","CV650","Median650","Rang650","RelRange650"
1,"Day",1,120,0.623427083333333,0.0608979724477393,9.76825904356459,0.6245,0.413,66.246720914301,0.0397604166666667,0.00231582560777232,5.82445004836633,0.039,0.013,32.6958344249411
1,"Day",2,286,0.547104166666667,0.0561935525739136,10.2710883955213,0.5405,0.302,55.1997258291764,0.0385520833333333,0.00148586173236923,3.85416715232225,0.039,0.007,18.1572547960011
1,"Day",3,80,0.540864583333333,0.0530218663515677,9.80316847976908,0.5305,0.276,51.0294089324577,0.0383229166666667,0.00155931693322609,4.06888898042144,0.038,0.007,18.2658331068225
1,"Day",4,327,0.475114583333333,0.043086417396148,9.06863710515054,0.468,0.222,46.7255705860428,0.0434375,0.0175113872725871,40.3139850879704,0.038,0.097,223.309352517986
1,"Day",5,107,0.637760416666667,0.0687104902420165,10.7737150889891,0.635,0.463,72.5977950183748,0.03978125,0.0018192139713855,4.57304376153465,0.04,0.009,22.623723487824
1,"Day",6,468,0.553791666666667,0.0354088649817845,6.39389631752937,0.553,0.167,30.1557444887518,0.0385208333333333,0.00175306748701671,4.55095940382922,0.0385,0.008,20.7679826933478
1,"Day",7,29,0.496010416666667,0.0533043880472116,10.7466267352675,0.492,0.312,62.9019047819056,0.0372604166666667,0.00208374557324907,5.59238398188176,0.037,0.015,40.2571987699189
1,"Day",8,387,0.49384375,0.0312475104271482,6.32740830012493,0.4935,0.141,28.5515408466747,0.03890625,0.00279125749816326,7.17431646114252,0.038,0.017,43.6947791164659
1,"Day",9,406,0.452635416666667,0.0426091464832973,9.41356882700053,0.4545,0.234,51.6972360941707,0.03728125,0.00184506810600299,4.94905108064508,0.037,0.012,32.1877619446773
1,"Day",10,473,0.500666666666667,0.0375563202801134,7.50126237285887,0.4975,0.175,34.9533954727031,0.0371041666666667,0.00180921132376378,4.87603276477605,0.037,0.007,18.8658057271196
1,"Day",11,112,0.59109375,0.0676545525950923,11.4456552103778,0.5895,0.317,53.6293946603225,0.03890625,0.00165483740654642,4.25339735015946,0.039,0.007,17.9919678714859
1,"Day",12,534,0.429729166666667,0.0403462589843853,9.38876439254614,0.431,0.209,48.6352838512629,0.0368541666666667,0.00123099588837371,3.3401810425064,0.037,0.006,16.2803843979649
1,"Day",13,376,0.3934375,0.0527126894739677,13.3979830275375,0.3825,0.354,89.9761715647339,0.0367604166666667,0.00216062754853972,5.87759265117068,0.036,0.011,29.9234910739586
1,"Day",14,264,0.46859375,0.0430804823618111,9.19356742632847,0.469,0.198,42.2540846948983,0.037125,0.00143086282398161,3.85417595685282,0.037,0.01,26.9360269360269
1,"Evening",2,106,0.633885416666667,0.0711209303402039,11.2198401272897,0.6225,0.429,67.6778466139714,0.0396875,0.00158487920841405,3.99339643064959,0.04,0.00899999999999999,22.6771653543307
1,"Evening",3,237,0.4890625,0.0395936763956862,8.09583159528407,0.49,0.232,47.4376996805112,0.0378854166666667,0.00159518876405975,4.21056148885718,0.038,0.007,18.476766565851
1,"Evening",4,326,0.522197916666667,0.0609817263037253,11.6778953644604,0.5135,0.373,71.4288563962418,0.0382916666666667,0.00208713687880723,5.45062949851726,0.038,0.00899999999999999,23.5038084874864
1,"Evening",5,572,0.36146875,0.0493338686107755,13.6481697548614,0.3555,0.252,69.7155701564796,0.0353229166666667,0.00130177847308306,3.68536518478246,0.035,0.007,19.8171630787378
